"seqnames","start","end","width","strand","specimen","refgenome","patient","celltype","timepoint","count","posid","estAbund","relAbund","relRank","in_gene","in_geneOrt","nearest_geneDist","nearest_gene","nearest_geneOrt","gene_id_wo_annot","gene_id"
"chr2",53442258,53442258,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr2-53442258",1,0.00108459869848156,107,"FALSE",NA,227721,"ASB3","-","ASB3","ASB3"
"chr2",71586409,71586409,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr2+71586409",1,0.00108459869848156,107,"DYSF","+",-100354,"DYSF","+","DYSF","DYSF*"
"chr2",127636388,127636388,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr2+127636388",1,0.00108459869848156,107,"MYO7B","+",-1340,"MYO7B","+","MYO7B","MYO7B*"
"chr2",204028512,204028512,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr2-204028512",1,0.00108459869848156,107,"FALSE",NA,66937,"ICOS","+","ICOS","ICOS"
"chr2",236191829,236191829,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr2-236191829",1,0.00108459869848156,107,"FALSE",NA,1622,"ASB18","-","ASB18","ASB18"
"chr3",9669535,9669535,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr3-9669535",1,0.00108459869848156,107,"MTMR14","+",20103,"MTMR14","+","MTMR14","MTMR14*"
"chr3",18247877,18247877,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr3-18247877",1,0.00108459869848156,107,"LOC339862","+",-21041,"LOC339862","+","LOC339862","LOC339862*"
"chr3",26363377,26363377,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",85,"chr3-26363377",2,0.00216919739696312,3,"FALSE",NA,-259428,"LRRC3B","+","LRRC3B","LRRC3B"
"chr3",52060517,52060517,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr3-52060517",1,0.00108459869848156,107,"FALSE",NA,1576,"LINC00696","-","LINC00696","LINC00696"
"chr3",67321415,67321415,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",112,"chr3-67321415",1,0.00108459869848156,107,"FALSE",NA,39044,"SUCLG2","-","SUCLG2","SUCLG2"
"chr3",118211451,118211451,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr3-118211451",1,0.00108459869848156,107,"FALSE",NA,296959,"LOC105374060","-","LOC105374060","LOC105374060"
"chr4",595582,595582,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr4-595582",1,0.00108459869848156,107,"FALSE",NA,-29991,"PDE6B","+","PDE6B","PDE6B"
"chr4",33454127,33454127,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr4-33454127",1,0.00108459869848156,107,"FALSE",NA,442213,"LOC101928622","-","LOC101928622","LOC101928622"
"chr4",105272458,105272458,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",685228,"chr4+105272458",814,0.882863340563991,1,"TET2,TET2-AS1","+,-",-7345,"TET2","+","TET2","TET2*~"
"chr4",131100220,131100220,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr4+131100220",1,0.00108459869848156,107,"FALSE",NA,-664617,"LOC101927305","+","LOC101927305","LOC101927305"
"chr6",17025315,17025315,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr6+17025315",1,0.00108459869848156,107,"FALSE",NA,-76942,"STMND1","+","STMND1","STMND1"
"chr6",24195645,24195645,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr6+24195645",1,0.00108459869848156,107,"DCDC2","-",-23891,"DCDC2","-","DCDC2","DCDC2*"
"chr6",90735656,90735656,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr6-90735656",1,0.00108459869848156,107,"FALSE",NA,-148355,"MAP3K7","-","MAP3K7","MAP3K7~"
"chr6",106577971,106577971,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr6+106577971",1,0.00108459869848156,107,"RTN4IP1","-",-7201,"RTN4IP1","-","RTN4IP1","RTN4IP1*~"
"chr6",135784714,135784714,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr6+135784714",1,0.00108459869848156,107,"FALSE",NA,-66981,"PDE7B","+","PDE7B","PDE7B"
"chr7",2235400,2235400,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr7-2235400",1,0.00108459869848156,107,"MRM2","-",-1110,"MRM2","-","MRM2","MRM2*"
"chr7",2636817,2636817,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr7+2636817",1,0.00108459869848156,107,"TTYH3","+",4849,"TTYH3","+","TTYH3","TTYH3*"
"chr7",28167348,28167348,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",37,"chr7-28167348",2,0.00216919739696312,3,"JAZF1","-",13470,"JAZF1","-","JAZF1","JAZF1*~"
"chr7",28919807,28919807,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr7+28919807",1,0.00108459869848156,107,"FALSE",NA,33550,"TRIL","-","TRIL","TRIL"
"chr7",74065767,74065767,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr7-74065767",1,0.00108459869848156,107,"ELN","+",-4139,"ELN","+","ELN","ELN*~"
"chr7",86479400,86479400,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr7+86479400",1,0.00108459869848156,107,"FALSE",NA,-164513,"GRM3","+","GRM3","GRM3"
"chr7",100642115,100642115,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr7-100642115",1,0.00108459869848156,107,"FALSE",NA,-565,"TFR2","-","TFR2","TFR2"
"chr7",133073562,133073562,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr7+133073562",1,0.00108459869848156,107,"CHCHD3","-",8596,"CHCHD3","-","CHCHD3","CHCHD3*"
"chr7",135755030,135755030,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr7-135755030",1,0.00108459869848156,107,"FALSE",NA,-6184,"FAM180A","-","FAM180A","FAM180A"
"chr7",139293340,139293340,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr7-139293340",1,0.00108459869848156,107,"UBN2","+",-14896,"UBN2","+","UBN2","UBN2*"
"chr7",156345944,156345944,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr7+156345944",1,0.00108459869848156,107,"FALSE",NA,91844,"LOC285889","-","LOC285889","LOC285889"
"chr8",21630963,21630963,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr8-21630963",1,0.00108459869848156,107,"FALSE",NA,61054,"GFRA2","-","GFRA2","GFRA2"
"chr8",60101422,60101422,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr8+60101422",1,0.00108459869848156,107,"FALSE",NA,83997,"CA8","-","CA8","CA8"
"chr8",67252224,67252224,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr8+67252224",1,0.00108459869848156,107,"ARFGEF1","-",-54576,"ARFGEF1","-","ARFGEF1","ARFGEF1*"
"chr8",75272654,75272654,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr8-75272654",1,0.00108459869848156,107,"CASC9","-",5827,"CASC9","-","CASC9","CASC9*"
"chr9",21903145,21903145,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr9-21903145",1,0.00108459869848156,107,"FALSE",NA,37175,"MTAP","+","MTAP","MTAP"
"chr9",24471420,24471420,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr9+24471420",1,0.00108459869848156,107,"FALSE",NA,71794,"IZUMO3","-","IZUMO3","IZUMO3"
"chr9",69776488,69776488,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr9+69776488",1,0.00108459869848156,107,"FALSE",NA,-16528,"PTAR1","-","PTAR1","PTAR1"
"chr9",113962508,113962508,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr9-113962508",1,0.00108459869848156,107,"ZNF618","+",86227,"ZNF618","+","ZNF618","ZNF618*"
"chr9",131595706,131595706,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr9+131595706",1,0.00108459869848156,107,"RAPGEF1","-",-18937,"RAPGEF1","-","RAPGEF1","RAPGEF1*~"
"chr9",137749098,137749098,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr9-137749098",1,0.00108459869848156,107,"EHMT1","+",-35295,"EHMT1","+","EHMT1","EHMT1*~"
"chr10",2488675,2488675,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr10+2488675",1,0.00108459869848156,107,"LOC105376351","-",12787,"LOC105376351","-","LOC105376351","LOC105376351*"
"chr10",5035518,5035518,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr10-5035518",1,0.00108459869848156,107,"FALSE",NA,-13247,"AKR1C3","+","AKR1C3","AKR1C3~"
"chr10",30746310,30746310,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr10+30746310",1,0.00108459869848156,107,"FALSE",NA,22570,"LOC105376480","+","LOC105376480","LOC105376480"
"chr10",43493101,43493101,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr10-43493101",1,0.00108459869848156,107,"FALSE",NA,10542,"ZNF487","+","ZNF487","ZNF487"
"chr10",58904709,58904709,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr10+58904709",1,0.00108459869848156,107,"FALSE",NA,73272,"BICC1","+","BICC1","BICC1"
"chr10",100903953,100903953,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr10-100903953",1,0.00108459869848156,107,"FALSE",NA,-8615,"SLF2","+","SLF2","SLF2"
"chr10",100964218,100964218,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr10+100964218",1,0.00108459869848156,107,"SLF2","+",-916,"SLF2","+","SLF2","SLF2*"
"chr10",119697850,119697850,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr10-119697850",1,0.00108459869848156,107,"FALSE",NA,20033,"BAG3","+","BAG3","BAG3~"
"chr10",132056230,132056230,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr10-132056230",1,0.00108459869848156,107,"FALSE",NA,-9736,"JAKMIP3","+","JAKMIP3","JAKMIP3"
"chr11",2679122,2679122,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr11+2679122",1,0.00108459869848156,107,"KCNQ1,KCNQ1OT1","+,-",20876,"KCNQ1OT1","-","KCNQ1","KCNQ1*"
"chr11",24845049,24845049,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr11+24845049",1,0.00108459869848156,107,"LUZP2","+",-237591,"LUZP2","+","LUZP2","LUZP2*"
"chr11",56950411,56950411,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr11-56950411",1,0.00108459869848156,107,"FALSE",NA,-38502,"OR5AK2","+","OR5AK2","OR5AK2"
"chr11",64651215,64651215,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr11+64651215",1,0.00108459869848156,107,"NRXN2","-",-45042,"NRXN2","-","NRXN2","NRXN2*~"
"chr11",102288936,102288936,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr11-102288936",1,0.00108459869848156,107,"FALSE",NA,-28513,"BIRC3","+","BIRC3","BIRC3~"
"chr11",111556054,111556054,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr11+111556054",1,0.00108459869848156,107,"LAYN","+",-5691,"LAYN","+","LAYN","LAYN*"
"chr12",732382,732382,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr12-732382",1,0.00108459869848156,107,"FALSE",NA,-20540,"WNK1","+","WNK1","WNK1"
"chr12",12866634,12866634,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr12+12866634",1,0.00108459869848156,107,"FALSE",NA,-8842,"RPL13AP20","+","RPL13AP20","RPL13AP20"
"chr12",60648320,60648320,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr12+60648320",1,0.00108459869848156,107,"FALSE",NA,858466,"SLC16A7","+","SLC16A7","SLC16A7"
"chr12",68615663,68615663,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr12-68615663",1,0.00108459869848156,107,"RAP1B","+",4825,"RAP1B","+","RAP1B","RAP1B*~"
"chr12",125361955,125361955,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr12-125361955",1,0.00108459869848156,107,"TMEM132B","+",35340,"TMEM132B","+","TMEM132B","TMEM132B*"
"chr13",24008521,24008521,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr13-24008521",1,0.00108459869848156,107,"SPATA13","+",-26506,"SPATA13","+","SPATA13","SPATA13*"
"chr13",46480369,46480369,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr13+46480369",1,0.00108459869848156,107,"FALSE",NA,-13593,"LINC01198","-","LINC01198","LINC01198"
"chr14",48612098,48612098,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr14+48612098",1,0.00108459869848156,107,"FALSE",NA,-817084,"LINC00648","-","LINC00648","LINC00648"
"chr14",96672381,96672381,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",13,"chr14+96672381",1,0.00108459869848156,107,"FALSE",NA,105265,"PAPOLA","+","PAPOLA","PAPOLA"
"chr15",64292721,64292721,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",3,"chr15+64292721",1,0.00108459869848156,107,"CSNK1G1","-",63538,"CSNK1G1","-","CSNK1G1","CSNK1G1*"
"chr15",64373527,64373527,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr15+64373527",1,0.00108459869848156,107,"PCLAF","-",7983,"PCLAF","-","PCLAF","PCLAF*"
"chr15",76387106,76387106,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr15+76387106",1,0.00108459869848156,107,"SCAPER","-",-38921,"SCAPER","-","SCAPER","SCAPER*"
"chr15",96368653,96368653,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr15-96368653",1,0.00108459869848156,107,"FALSE",NA,28390,"NR2F2","+","NR2F2","NR2F2"
"chr15",101441350,101441350,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr15-101441350",1,0.00108459869848156,107,"PCSK6","-",48634,"PCSK6","-","PCSK6","PCSK6*"
"chr15",101718924,101718924,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr15+101718924",1,0.00108459869848156,107,"TARSL2","-",5518,"TARSL2","-","TARSL2","TARSL2*"
"chr19",10173785,10173785,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",2,"chr19-10173785",1,0.00108459869848156,107,"DNMT1","-",21269,"DNMT1","-","DNMT1","DNMT1*~"
"chr19",11137976,11137976,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr19+11137976",1,0.00108459869848156,107,"FALSE",NA,4147,"LDLR","+","LDLR","LDLR"
"chr19",12345990,12345990,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",157,"chr19-12345990",1,0.00108459869848156,107,"FALSE",NA,3380,"ZNF442","-","ZNF442","ZNF442~"
"chr19",33719958,33719958,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr19+33719958",1,0.00108459869848156,107,"CHST8","+",35431,"CHST8","+","CHST8","CHST8*"
"chr19",42381972,42381972,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr19+42381972",1,0.00108459869848156,107,"FALSE",NA,3203,"MEGF8","+","MEGF8","MEGF8"
"chr19",42596696,42596696,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr19-42596696",1,0.00108459869848156,107,"LIPE-AS1","+",-55659,"LIPE-AS1","+","LIPE-AS1","LIPE-AS1*"
"chr19",52669499,52669499,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",12,"chr19-52669499",1,0.00108459869848156,107,"ZNF83","-",21082,"ZNF83","-","ZNF83","ZNF83*"
"chr20",37358347,37358347,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr20+37358347",1,0.00108459869848156,107,"SRC","+",12220,"SRC","+","SRC","SRC*~"
"chr20",44070603,44070603,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr20-44070603",1,0.00108459869848156,107,"FALSE",NA,989,"TOX2","+","TOX2","TOX2"
"chr20",50180348,50180348,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr20-50180348",1,0.00108459869848156,107,"FALSE",NA,3677,"LINC01273","+","LINC01273","LINC01273"
"chr21",29247560,29247560,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr21+29247560",1,0.00108459869848156,107,"LINC00189","+",-40645,"LINC00189","+","LINC00189","LINC00189*"
"chr21",38314771,38314771,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr21-38314771",1,0.00108459869848156,107,"FALSE",NA,11587,"LINC01423","-","LINC01423","LINC01423"
"chrX",3233721,3233721,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chrX+3233721",1,0.00108459869848156,107,"FALSE",NA,-38098,"LINC01546","+","LINC01546","LINC01546"
"chrM",2438,2438,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chrM-2438",1,0.00108459869848156,107,"RNR2","+",768,"RNR2","+","RNR2","RNR2*"
"chr5",24178523,24178523,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr5+24178523",1,0.00108459869848156,107,"FALSE",NA,258,"C5orf17","+","C5orf17","C5orf17"
"chr5",68299854,68299854,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",2,"chr5-68299854",1,0.00108459869848156,107,"PIK3R1","+",-1967,"PIK3R1","+","PIK3R1","PIK3R1*~"
"chr5",135824495,135824495,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr5+135824495",1,0.00108459869848156,107,"FALSE",NA,-10180,"SLC25A48","+","SLC25A48","SLC25A48"
"chr5",154306024,154306024,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr5+154306024",1,0.00108459869848156,107,"GALNT10","+",-114959,"GALNT10","+","GALNT10","GALNT10*"
"chr16",3586482,3586482,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr16-3586482",1,0.00108459869848156,107,"SLX4","-",-5300,"SLX4","-","SLX4","SLX4*"
"chr16",49566545,49566545,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr16+49566545",1,0.00108459869848156,107,"ZNF423","-",-79015,"ZNF423","-","ZNF423","ZNF423*~"
"chr17",43734132,43734132,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr17+43734132",1,0.00108459869848156,107,"FALSE",NA,19598,"SOST","-","SOST","SOST"
"chr17",78569887,78569887,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr17+78569887",1,0.00108459869848156,107,"DNAH17","-",7507,"DNAH17","-","DNAH17","DNAH17*"
"chr18",77089165,77089165,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr18-77089165",1,0.00108459869848156,107,"MBP","-",43653,"MBP","-","MBP","MBP*"
"chr18",78296535,78296535,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr18-78296535",1,0.00108459869848156,107,"FALSE",NA,-302808,"LINC01029","-","LINC01029","LINC01029"
"chr1",108341,108341,1,"+","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",2,"chr1+108341",1,0.000131199160325374,3524,"FALSE",NA,26431,"LOC729737","-","LOC729737","LOC729737"
"chr1",284905,284905,1,"+","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",2,"chr1+284905",1,0.000131199160325374,3524,"FALSE",NA,-78308,"FAM138D","-","FAM138D","FAM138D"
"chr1",801960,801960,1,"+","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",5,"chr1+801960",2,0.000262398320650748,1118,"FALSE",NA,-15410,"FAM87B","+","FAM87B","FAM87B"
"chr1",840354,840354,1,"-","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",6,"chr1-840354",2,0.000262398320650748,1118,"LINC01128","+",-3250,"LINC01128","+","LINC01128","LINC01128*"
"chr1",848615,848615,1,"+","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",5,"chr1+848615",1,0.000131199160325374,3524,"LINC01128","+",-10831,"LINC01128","+","LINC01128","LINC01128*"
"chr1",1100415,1100415,1,"+","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",9,"chr1+1100415",1,0.000131199160325374,3524,"C1orf159","-",15941,"C1orf159","-","C1orf159","C1orf159*"
"chr1",1223490,1223490,1,"-","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",151,"chr1-1223490",3,0.000393597480976122,596,"SDF4","-",-6583,"SDF4","-","SDF4","SDF4*"
"chr1",1263814,1263814,1,"+","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",38,"chr1+1263814",1,0.000131199160325374,3524,"UBE2J2","-",-9903,"UBE2J2","-","UBE2J2","UBE2J2*"
"chr1",1313902,1313902,1,"-","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",193,"chr1-1313902",6,0.000787194961952244,217,"INTS11","-",-2318,"INTS11","-","INTS11","INTS11*"
"chr1",1316467,1316467,1,"+","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",2,"chr1+1316467",1,0.000131199160325374,3524,"INTS11","-",-4883,"INTS11","-","INTS11","INTS11*"
"chr1",1322617,1322617,1,"+","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",1,"chr1+1322617",1,0.000131199160325374,3524,"INTS11","-",2070,"INTS11","-","INTS11","INTS11*"
"chr1",1325943,1325943,1,"+","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",6,"chr1+1325943",1,0.000131199160325374,3524,"CPTP","+",1181,"CPTP","+","CPTP","CPTP*"
"chr1",1325947,1325947,1,"-","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",17,"chr1-1325947",1,0.000131199160325374,3524,"CPTP","+",1185,"CPTP","+","CPTP","CPTP*"
"chr1",1393557,1393557,1,"-","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",69,"chr1-1393557",1,0.000131199160325374,3524,"CCNL2","-",-1270,"CCNL2","-","CCNL2","CCNL2*"
"chr1",1394052,1394052,1,"-","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",42,"chr1-1394052",1,0.000131199160325374,3524,"CCNL2","-",-1765,"CCNL2","-","CCNL2","CCNL2*"
"chr1",1395645,1395645,1,"-","GTSP0567","hg38","p03712-03","Tcells:CAR+CD8-","d14",90,"chr1-1395645",2,0.000262398320650748,1118,"CCNL2","-",-3358,"CCNL2","-","CCNL2","CCNL2*"
